,artist,dateposted,description,itemid,itunes_link,loved_count,p_id,posted_count,postid,posturl,pub_audio_unavail,siteid,sitename,thumb_url,thumb_url_large,thumb_url_medium,time,title,ts_loved_me
0,Broken Transient,1516180029,"Sounds like: smuv, wun two Song: Broken Transient - Harp Strings What's so good? Gotta love a boom-bap track, otherwise when else are you supposed to hear a harp? The last time for me was when I visited the harp store looking to buy one for my friend Lore",2qck0,http://hypem.com/go/itunes_search/Broken%20Transient,7,,1,3288009,https://www.indieshuffle.com/broken-transient-harp-strings/,,11626,Indie Shuffle,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/60/2qck0_640.jpg,https://static.hypem.com/solid_color/items_images/60/2qck0_120.jpg,122,Harp Strings,1516212619
1,Billie Eilish,1516414450,"The EDM duo none other than Sofi Tukker is back with another dope track – and it’s a remix of one of our pop favorites, Billie Eilish. If you were already a fan of “COPYCAT”, you’re going to love this bouncy-wavy, atmospheric remix of the smash single. Le",2qbm8,http://hypem.com/go/itunes_search/Billie%20Eilish,827,,5,3290093,http://poponandon.com/2018/01/20/first-listen-billie-eilish-copycat-sofi-tukker-remix/,,14143,POP ON AND ON,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/88/2qbm8_640.jpg,https://static.hypem.com/solid_color/items_images/88/2qbm8_120.jpg,199,COPYCAT (Sofi Tukker Remix),1516211348
2,Kali Uchis,1515941349,Kali Uchis star rises even further with some help from flower boy Tyler the Creator and the infamously funky Bootsy Collins. Vibes.,2qbbp,http://hypem.com/go/itunes_search/Kali%20Uchis,186,,6,3286523,http://beartoons.org/2018/01/14/kali-uchis-after-the-storm-feat-tyler-the-creator-bootsy-collins/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/76/2qbbp_640.jpg,https://static.hypem.com/solid_color/items_images/76/2qbbp_120.jpg,208,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1516029963
3,Allah-Las,1453147217,"L: Allah-Las - “Catamaran” Late 70′s movie, let’s GOOOO. “Catamaran” brings out the best parts of the chic hippie life, writing tie-dye into sounds and fringe into tambourine beats. As the lead vocalist modulates between notes and non-notes, he paints a f",1dd91,http://hypem.com/go/itunes_search/Allah-Las,556,,15,2849803,http://minoredinmusic.tumblr.com/post/137569593910/l-allah-las-catamaran-late-70s-movie-lets,,21380,Minored In Music,http://static.hypem.net/solid_color/thumbs_new/1a/2171930.jpg,http://static.hypem.net/thumbs_new/4/1978884_640.jpg,https://static.hypem.com/solid_color/items_images/21/1dd91_120.jpg,213,Catamaran,1515717396
4,benjastyles,1515449669,Cobain's old friend John Purkey uploaded four demo tapes to YouTube.,2n3pk,http://hypem.com/go/itunes_search/benjastyles,964,,3,3283432,http://pigeonsandplanes.com/news/2018/01/nirvana-rare-demos-kurt-cobain-friend,,6736,Pigeons and Planes,http://static.hypem.net/solid_color/thumbs_new/7e/3156094.jpg,https://static.hypem.com/items_images/d3/2n3pk_640.jpg,https://static.hypem.com/solid_color/items_images/d3/2n3pk_120.jpg,216,Big Poppa Fire (Produced By Benja Styles) Dirty,1515685667
5,Major Lazer,1514690888,"Major Lazer estrenó “Go Dung” como regalo de Navidad Como la Navidad sigue en nuestros corazones y aún disfrutamos de los regalos, nos dimos a la tarea de escuchar la nueva canción de Major Lazer, “Go Dung” que estrenó el 26 de diciembre. En la que colabo",2q7w6,http://hypem.com/go/itunes_search/Major%20Lazer,355,,5,3280474,http://marvin.com.mx/escucha-la-nueva-cancion-de-major-lazer/,,23048,Revista Marvin ,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/86/2q7w6_640.jpg,https://static.hypem.com/solid_color/items_images/86/2q7w6_120.jpg,177,Go Dung (feat. Kes),1514890011
6,Los Growlers,1506404944,Beach goth rockers The Growlers are no strangers to New York. It seems like every couple of months we can expect them to return to us here on the other coast (find coverage of their Terminal 5 performance this May). They’re still touring hard in support o,2j7rn,http://hypem.com/go/itunes_search/Los%20Growlers,52,,5,3226611,http://www.weallwantsomeone.org/2017/09/26/preview-the-growlers-at-brooklyn-bowl/,,6764,We All Want Someone To Shout For,http://static.hypem.net/solid_color/thumbs_new/26/3066406.jpg,https://static.hypem.com/items_images/15/2j7rn_640.jpg,https://static.hypem.com/solid_color/items_images/15/2j7rn_120.jpg,287,I'll Be Around,1514847263
7,Bleached,1387795804,Let’s end the year with a bang – with our 100 favourite songs of 2013. Thanks for your support – enjoy the listen! #100 Streets Of Laredo | Girlfriend #99 Larry Gus | The Sun Plagues #98 Phosphorescent | Song For Zula #97 Sarah Neufeld | Hero Brother #96 ,1xdaf,http://hypem.com/go/itunes_search/Bleached,23,,2,2381528,http://guerolitomusic.com/2013/12/23/guerolitomusic-presents-best-songs-of-2013/,,13753,guerolitomusic,http://static.hypem.net/solid_color/thumbs_new/d8/2381528.jpg,https://static.hypem.com/items_images/4f/1xdaf_640.jpg,https://static.hypem.com/solid_color/items_images/4f/1xdaf_120.jpg,172,Love Spells,1514843984
8,Thunder Jackson,1512506531,"Visual art above by Thomas Danthony [via] “What exactly is a Thunder Jackson?” asks a woman near the beginning of Jackson’s own track, “Guilty Party.” Thunder Jackson himself quickly answers that question in the only (and coolest) way he can: a song full ",2pyy4,http://hypem.com/go/itunes_search/Thunder%20Jackson,2642,,11,3269442,https://www.theburningear.com/thunder-jackson-guilty-party-thomas-danthony/,,10819,The Burning Ear,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/c4/2pyy4_640.jpg,https://static.hypem.com/solid_color/items_images/c4/2pyy4_120.jpg,212,Guilty Party,1513365465
9,Nils Frahm,1513011620,"Nils Frahm makes some of the most wonderfully crafted classical and ambient music, unique in its creativity and intensity. Echo 6, a newcomer from Montreal by way of Toulouse, has seized upon a chilling masterpiece by Frahm and built a masterpiece of his ",2q4cm,http://hypem.com/go/itunes_search/Nils%20Frahm,134,,1,3272590,http://beartoons.org/2017/12/11/nils-frahm-says-echo-6-remix/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/94/2q4cm_640.jpg,https://static.hypem.com/solid_color/items_images/94/2q4cm_120.jpg,479,Says (Echo 6 Remix),1513109454
10,3615 Nuits Blanches,1513010951,"In March, 3615 Nuits Blanches released their debut album, When About Last Night. On December 15th, they are releasing About Last Night (Long &...",2q4ce,http://hypem.com/go/itunes_search/3615%20Nuits%20Blanches,2,,1,3272573,http://survivingthegoldenage.com/3615-nuits-blanches-silent-delight-douzes-flowerdub/,,1056,surviving the golden age,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/8e/2q4ce_640.jpg,https://static.hypem.com/solid_color/items_images/8e/2q4ce_120.jpg,370,Silent Delight (Douze's Flowerdub),1513027457
11,Ty Segall,1516025656,"To be honest with you reader, Ty Segall, boy king of the American Garage Rock Scene, never struck me as a morning person. Or even a ""get out of bed before noon""-type person. More »",2q2jb,http://hypem.com/go/itunes_search/Ty%20Segall,245,,14,3286853,https://www.stereogum.com/1978399/ty-segall-on-freedom-goblin-the-whole-prolific-thing-the-hip-hop-album-he-hopes-to-make/franchises/interview/,,152,stereogum,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/4b/2q2jb_640.jpg,https://static.hypem.com/solid_color/items_images/4b/2q2jb_120.jpg,259,Every 1's A Winner,1512745452
12,OPAL,1513120456,"Wavey AF, alternative R&B singer Opal’s latest ‘Coco Miyaki’ fy. Sunny Moonshine is a vibe-y electronic track perfect to blow one back to over winter break. Currently based in Virginia, born in Chicago, and raised in L.A. Opal blends futurism with eclecti",2q2az,http://hypem.com/go/itunes_search/OPAL,292,,2,3273565,http://afropunk.com/2017/12/zen-alt-rb-singer-opals-wavey-af-single-coco-miyaki-fy-sunny-moonshine/,,21690,AFROPUNK,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/5f/2q2az_640.jpg,https://static.hypem.com/solid_color/items_images/5f/2q2az_120.jpg,155,COCO MIYAKI (FEAT. SUNNY MOONSHINE),1512586503
13,Vallès,1512334574,"It’s been a while since we last talked about Spanish producer Vallès. After his “St Lucia” and “Sorrow” EPs , he’s back with 2 beautiful tracks. “Giverny” is named after the village in France where Monet used to live. And its very peaceful sound has proba",2pn6b,http://hypem.com/go/itunes_search/Vallès,209,,3,3268112,http://doyoulikethatsong.com/2017/12/03/valles-giverny-lencois/,,18984,Do You Like That Song?,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/cb/2pn6b_640.jpg,https://static.hypem.com/solid_color/items_images/cb/2pn6b_120.jpg,238,Lençois,1512586150
14,Bertrand Burgalat,1512472050,Yuksek spins a disco rework of Bertrand Burgalat’s already plenty groovy “Etranges Nuages”. Listen to the original here,2pvgq,http://hypem.com/go/itunes_search/Bertrand%20Burgalat,645,,2,3269040,http://beartoons.org/2017/12/05/bertrand-burgalat-etranges-nuages-yuksek-remix/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/17/2pvgq_640.jpg,https://static.hypem.com/solid_color/items_images/17/2pvgq_120.jpg,309,Etranges Nuages (Yuksek Remix),1512513762
15,Blue Alphabet,1512490037,"Belgian duo, Mumbai Science are ready to make you expand your consciousness. After their Big Room anthem ‘Jasmine’ they explore a darker sound with new track, ‘Hidden Sound’. Boasting support from the likes of Boston Bun, Sasha, Carl Craig and Charlotte d",2q2m7,http://hypem.com/go/itunes_search/Blue%20Alphabet,21,,1,3269257,https://chasethecompass.com/2017/12/mumbai-science-five-floor/,,19565,Chase The Compass,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/87/2q2m7_640.jpg,https://static.hypem.com/solid_color/items_images/87/2q2m7_120.jpg,386,Genetic Trance (Sue Avenue Rework),1512504403
16,Brock Berrigan,1512418464,The beat legend and one of the first people to inspire my love for chillhop music – mr. Brock Berrigan dropped a brand new and pretty awesome video! The track he chose for this colourful wacky-ness is “The Celebration Song” off his 2012 album April’s Neck,2q2bv,http://hypem.com/go/itunes_search/Brock%20Berrigan,1398,,1,3268724,https://www.stereofox.com/video-brock-berrigan-the-celebration-song/,,19706,Stereofox,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/7b/2q2bv_640.jpg,https://static.hypem.com/solid_color/items_images/7b/2q2bv_120.jpg,172,The Celebration Song,1512484531
17,Big Thief,1513197734,"Best Albums of 2017: #12 Big Thief - Capacity out on Saddle Creek Adrianne Lenker’s music is an engaging diary of her hardscrabble life, from her candid lyrics to the personal photographs that grace her albums. On the cover of her new release, Capacity, w",2n8n9,http://hypem.com/go/itunes_search/Big%20Thief,1344,,13,3274196,http://anotherdyingartform.com/post/168511187142/best-albums-of-2017-12-big-thief-capacity-out,,15688,Another Dying Art Form,http://static.hypem.net/solid_color/thumbs_new/bf/3203263.jpg,https://static.hypem.com/items_images/a9/2n8n9_640.jpg,https://static.hypem.com/solid_color/items_images/a9/2n8n9_120.jpg,239,Shark Smile,1512484205
18,Young Franco,1512163733,"REMIX THIS is a place where we get to showcase some of the best booty-shaking, body-rolling, hip-thrusting, shoulder-shifting remixes that have been grooving all over this week. These are the ones that have stood out for us in some particular way, the one",2q1rw,http://hypem.com/go/itunes_search/Young%20Franco,55,,1,3267644,https://acidstag.com/2017/12/02/remix-this-120/,,17657,acid stag,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/1c/2q1rw_640.jpg,https://static.hypem.com/solid_color/items_images/1c/2q1rw_120.jpg,271,About This Thing (Hood Rich Remix) (feat. Scrufizzer),1512418172
19,Anna McClellan,1512742061,"words: Sarah Hojsak In the first single from her upcoming record Yes and No, Anna McClellan holds nothing back. The New York-via-Omaha artist has an immediately gripping voice, and she belts with full force on the new track. “Heart of Hearts” is full of d",2q0xr,http://hypem.com/go/itunes_search/Anna%20McClellan,375,,3,3271286,http://www.thegreyestates.com/blog/mp3-heart-of-hearts-anna-mcclellan,,20325,The Grey Estates,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/b8/2q0xr_640.jpg,https://static.hypem.com/solid_color/items_images/b8/2q0xr_120.jpg,186,Heart of Hearts,1512403212
20,Broken Transient,1516180029,"Sounds like: smuv, wun two Song: Broken Transient - Harp Strings What's so good? Gotta love a boom-bap track, otherwise when else are you supposed to hear a harp? The last time for me was when I visited the harp store looking to buy one for my friend Lore",2qck0,http://hypem.com/go/itunes_search/Broken%20Transient,7,,1,3288009,https://www.indieshuffle.com/broken-transient-harp-strings/,,11626,Indie Shuffle,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/60/2qck0_640.jpg,https://static.hypem.com/solid_color/items_images/60/2qck0_120.jpg,122,Harp Strings,1516212619
21,Billie Eilish,1516414450,"The EDM duo none other than Sofi Tukker is back with another dope track – and it’s a remix of one of our pop favorites, Billie Eilish. If you were already a fan of “COPYCAT”, you’re going to love this bouncy-wavy, atmospheric remix of the smash single. Le",2qbm8,http://hypem.com/go/itunes_search/Billie%20Eilish,827,,5,3290093,http://poponandon.com/2018/01/20/first-listen-billie-eilish-copycat-sofi-tukker-remix/,,14143,POP ON AND ON,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/88/2qbm8_640.jpg,https://static.hypem.com/solid_color/items_images/88/2qbm8_120.jpg,199,COPYCAT (Sofi Tukker Remix),1516211348
22,Kali Uchis,1515941349,Kali Uchis star rises even further with some help from flower boy Tyler the Creator and the infamously funky Bootsy Collins. Vibes.,2qbbp,http://hypem.com/go/itunes_search/Kali%20Uchis,186,,6,3286523,http://beartoons.org/2018/01/14/kali-uchis-after-the-storm-feat-tyler-the-creator-bootsy-collins/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/76/2qbbp_640.jpg,https://static.hypem.com/solid_color/items_images/76/2qbbp_120.jpg,208,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1516029963
23,Allah-Las,1453147217,"L: Allah-Las - “Catamaran” Late 70′s movie, let’s GOOOO. “Catamaran” brings out the best parts of the chic hippie life, writing tie-dye into sounds and fringe into tambourine beats. As the lead vocalist modulates between notes and non-notes, he paints a f",1dd91,http://hypem.com/go/itunes_search/Allah-Las,556,,15,2849803,http://minoredinmusic.tumblr.com/post/137569593910/l-allah-las-catamaran-late-70s-movie-lets,,21380,Minored In Music,http://static.hypem.net/solid_color/thumbs_new/1a/2171930.jpg,http://static.hypem.net/thumbs_new/4/1978884_640.jpg,https://static.hypem.com/solid_color/items_images/21/1dd91_120.jpg,213,Catamaran,1515717396
24,benjastyles,1515449669,Cobain's old friend John Purkey uploaded four demo tapes to YouTube.,2n3pk,http://hypem.com/go/itunes_search/benjastyles,964,,3,3283432,http://pigeonsandplanes.com/news/2018/01/nirvana-rare-demos-kurt-cobain-friend,,6736,Pigeons and Planes,http://static.hypem.net/solid_color/thumbs_new/7e/3156094.jpg,https://static.hypem.com/items_images/d3/2n3pk_640.jpg,https://static.hypem.com/solid_color/items_images/d3/2n3pk_120.jpg,216,Big Poppa Fire (Produced By Benja Styles) Dirty,1515685667
25,Major Lazer,1514690888,"Major Lazer estrenó “Go Dung” como regalo de Navidad Como la Navidad sigue en nuestros corazones y aún disfrutamos de los regalos, nos dimos a la tarea de escuchar la nueva canción de Major Lazer, “Go Dung” que estrenó el 26 de diciembre. En la que colabo",2q7w6,http://hypem.com/go/itunes_search/Major%20Lazer,355,,5,3280474,http://marvin.com.mx/escucha-la-nueva-cancion-de-major-lazer/,,23048,Revista Marvin ,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/86/2q7w6_640.jpg,https://static.hypem.com/solid_color/items_images/86/2q7w6_120.jpg,177,Go Dung (feat. Kes),1514890011
26,Los Growlers,1506404944,Beach goth rockers The Growlers are no strangers to New York. It seems like every couple of months we can expect them to return to us here on the other coast (find coverage of their Terminal 5 performance this May). They’re still touring hard in support o,2j7rn,http://hypem.com/go/itunes_search/Los%20Growlers,52,,5,3226611,http://www.weallwantsomeone.org/2017/09/26/preview-the-growlers-at-brooklyn-bowl/,,6764,We All Want Someone To Shout For,http://static.hypem.net/solid_color/thumbs_new/26/3066406.jpg,https://static.hypem.com/items_images/15/2j7rn_640.jpg,https://static.hypem.com/solid_color/items_images/15/2j7rn_120.jpg,287,I'll Be Around,1514847263
27,Bleached,1387795804,Let’s end the year with a bang – with our 100 favourite songs of 2013. Thanks for your support – enjoy the listen! #100 Streets Of Laredo | Girlfriend #99 Larry Gus | The Sun Plagues #98 Phosphorescent | Song For Zula #97 Sarah Neufeld | Hero Brother #96 ,1xdaf,http://hypem.com/go/itunes_search/Bleached,23,,2,2381528,http://guerolitomusic.com/2013/12/23/guerolitomusic-presents-best-songs-of-2013/,,13753,guerolitomusic,http://static.hypem.net/solid_color/thumbs_new/d8/2381528.jpg,https://static.hypem.com/items_images/4f/1xdaf_640.jpg,https://static.hypem.com/solid_color/items_images/4f/1xdaf_120.jpg,172,Love Spells,1514843984
28,Thunder Jackson,1512506531,"Visual art above by Thomas Danthony [via] “What exactly is a Thunder Jackson?” asks a woman near the beginning of Jackson’s own track, “Guilty Party.” Thunder Jackson himself quickly answers that question in the only (and coolest) way he can: a song full ",2pyy4,http://hypem.com/go/itunes_search/Thunder%20Jackson,2642,,11,3269442,https://www.theburningear.com/thunder-jackson-guilty-party-thomas-danthony/,,10819,The Burning Ear,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/c4/2pyy4_640.jpg,https://static.hypem.com/solid_color/items_images/c4/2pyy4_120.jpg,212,Guilty Party,1513365465
29,Nils Frahm,1513011620,"Nils Frahm makes some of the most wonderfully crafted classical and ambient music, unique in its creativity and intensity. Echo 6, a newcomer from Montreal by way of Toulouse, has seized upon a chilling masterpiece by Frahm and built a masterpiece of his ",2q4cm,http://hypem.com/go/itunes_search/Nils%20Frahm,134,,1,3272590,http://beartoons.org/2017/12/11/nils-frahm-says-echo-6-remix/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/94/2q4cm_640.jpg,https://static.hypem.com/solid_color/items_images/94/2q4cm_120.jpg,479,Says (Echo 6 Remix),1513109454
30,3615 Nuits Blanches,1513010951,"In March, 3615 Nuits Blanches released their debut album, When About Last Night. On December 15th, they are releasing About Last Night (Long &...",2q4ce,http://hypem.com/go/itunes_search/3615%20Nuits%20Blanches,2,,1,3272573,http://survivingthegoldenage.com/3615-nuits-blanches-silent-delight-douzes-flowerdub/,,1056,surviving the golden age,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/8e/2q4ce_640.jpg,https://static.hypem.com/solid_color/items_images/8e/2q4ce_120.jpg,370,Silent Delight (Douze's Flowerdub),1513027457
31,Ty Segall,1516025656,"To be honest with you reader, Ty Segall, boy king of the American Garage Rock Scene, never struck me as a morning person. Or even a ""get out of bed before noon""-type person. More »",2q2jb,http://hypem.com/go/itunes_search/Ty%20Segall,245,,14,3286853,https://www.stereogum.com/1978399/ty-segall-on-freedom-goblin-the-whole-prolific-thing-the-hip-hop-album-he-hopes-to-make/franchises/interview/,,152,stereogum,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/4b/2q2jb_640.jpg,https://static.hypem.com/solid_color/items_images/4b/2q2jb_120.jpg,259,Every 1's A Winner,1512745452
32,OPAL,1513120456,"Wavey AF, alternative R&B singer Opal’s latest ‘Coco Miyaki’ fy. Sunny Moonshine is a vibe-y electronic track perfect to blow one back to over winter break. Currently based in Virginia, born in Chicago, and raised in L.A. Opal blends futurism with eclecti",2q2az,http://hypem.com/go/itunes_search/OPAL,292,,2,3273565,http://afropunk.com/2017/12/zen-alt-rb-singer-opals-wavey-af-single-coco-miyaki-fy-sunny-moonshine/,,21690,AFROPUNK,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/5f/2q2az_640.jpg,https://static.hypem.com/solid_color/items_images/5f/2q2az_120.jpg,155,COCO MIYAKI (FEAT. SUNNY MOONSHINE),1512586503
33,Vallès,1512334574,"It’s been a while since we last talked about Spanish producer Vallès. After his “St Lucia” and “Sorrow” EPs , he’s back with 2 beautiful tracks. “Giverny” is named after the village in France where Monet used to live. And its very peaceful sound has proba",2pn6b,http://hypem.com/go/itunes_search/Vallès,209,,3,3268112,http://doyoulikethatsong.com/2017/12/03/valles-giverny-lencois/,,18984,Do You Like That Song?,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/cb/2pn6b_640.jpg,https://static.hypem.com/solid_color/items_images/cb/2pn6b_120.jpg,238,Lençois,1512586150
34,Bertrand Burgalat,1512472050,Yuksek spins a disco rework of Bertrand Burgalat’s already plenty groovy “Etranges Nuages”. Listen to the original here,2pvgq,http://hypem.com/go/itunes_search/Bertrand%20Burgalat,645,,2,3269040,http://beartoons.org/2017/12/05/bertrand-burgalat-etranges-nuages-yuksek-remix/,,21688,bear toons,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/17/2pvgq_640.jpg,https://static.hypem.com/solid_color/items_images/17/2pvgq_120.jpg,309,Etranges Nuages (Yuksek Remix),1512513762
35,Blue Alphabet,1512490037,"Belgian duo, Mumbai Science are ready to make you expand your consciousness. After their Big Room anthem ‘Jasmine’ they explore a darker sound with new track, ‘Hidden Sound’. Boasting support from the likes of Boston Bun, Sasha, Carl Craig and Charlotte d",2q2m7,http://hypem.com/go/itunes_search/Blue%20Alphabet,21,,1,3269257,https://chasethecompass.com/2017/12/mumbai-science-five-floor/,,19565,Chase The Compass,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/87/2q2m7_640.jpg,https://static.hypem.com/solid_color/items_images/87/2q2m7_120.jpg,386,Genetic Trance (Sue Avenue Rework),1512504403
36,Brock Berrigan,1512418464,The beat legend and one of the first people to inspire my love for chillhop music – mr. Brock Berrigan dropped a brand new and pretty awesome video! The track he chose for this colourful wacky-ness is “The Celebration Song” off his 2012 album April’s Neck,2q2bv,http://hypem.com/go/itunes_search/Brock%20Berrigan,1398,,1,3268724,https://www.stereofox.com/video-brock-berrigan-the-celebration-song/,,19706,Stereofox,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/7b/2q2bv_640.jpg,https://static.hypem.com/solid_color/items_images/7b/2q2bv_120.jpg,172,The Celebration Song,1512484531
37,Big Thief,1513197734,"Best Albums of 2017: #12 Big Thief - Capacity out on Saddle Creek Adrianne Lenker’s music is an engaging diary of her hardscrabble life, from her candid lyrics to the personal photographs that grace her albums. On the cover of her new release, Capacity, w",2n8n9,http://hypem.com/go/itunes_search/Big%20Thief,1344,,13,3274196,http://anotherdyingartform.com/post/168511187142/best-albums-of-2017-12-big-thief-capacity-out,,15688,Another Dying Art Form,http://static.hypem.net/solid_color/thumbs_new/bf/3203263.jpg,https://static.hypem.com/items_images/a9/2n8n9_640.jpg,https://static.hypem.com/solid_color/items_images/a9/2n8n9_120.jpg,239,Shark Smile,1512484205
38,Young Franco,1512163733,"REMIX THIS is a place where we get to showcase some of the best booty-shaking, body-rolling, hip-thrusting, shoulder-shifting remixes that have been grooving all over this week. These are the ones that have stood out for us in some particular way, the one",2q1rw,http://hypem.com/go/itunes_search/Young%20Franco,55,,1,3267644,https://acidstag.com/2017/12/02/remix-this-120/,,17657,acid stag,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/1c/2q1rw_640.jpg,https://static.hypem.com/solid_color/items_images/1c/2q1rw_120.jpg,271,About This Thing (Hood Rich Remix) (feat. Scrufizzer),1512418172
39,Anna McClellan,1512742061,"words: Sarah Hojsak In the first single from her upcoming record Yes and No, Anna McClellan holds nothing back. The New York-via-Omaha artist has an immediately gripping voice, and she belts with full force on the new track. “Heart of Hearts” is full of d",2q0xr,http://hypem.com/go/itunes_search/Anna%20McClellan,375,,3,3271286,http://www.thegreyestates.com/blog/mp3-heart-of-hearts-anna-mcclellan,,20325,The Grey Estates,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/b8/2q0xr_640.jpg,https://static.hypem.com/solid_color/items_images/b8/2q0xr_120.jpg,186,Heart of Hearts,1512403212
40,Finn,1512147385,"Yabba-dabba-doo, y’all: London-based record label Last Action is officially blowing the whistle on 2017, having announced that their final drop of the calendar year will be a fresh EP from Manchester club kid DJ Finn. The record, due out December 8 and en",2pzrm,http://hypem.com/go/itunes_search/Finn,103,,3,3267480,https://www.tinymixtapes.com/news/local-action-records-last-action-2017-new-ep-dj-finn,,5894,Tiny Mix Tapes,https://static.hypem.com/solid_color/83c441,https://static.hypem.com/items_images/14/2pzrm_640.jpg,https://static.hypem.com/solid_color/items_images/14/2pzrm_120.jpg,286,Sometimes The Going Gets A Little Tough,1512401860
41,Alex Cameron,1512241623,"No me va a quedar otra que volver a poner por escrito lo MUCHÍSIMO que me ha gustado el último trabajo publicado por Alex Cameron: ya lo dije en su día a propósito de los primeros sencillos con que se presentó este segundo largo del australiano, pero el q",2p6jw,http://hypem.com/go/itunes_search/Alex%20Cameron,28,,5,3267904,https://thesongswelove.wordpress.com/2017/12/02/runnin-outta-luck-alex-cameron/,,18793,The Songs We Love,http://static.hypem.net/solid_color/thumbs_new/82/3216002.jpg,https://static.hypem.com/items_images/5c/2p6jw_640.jpg,https://static.hypem.com/solid_color/items_images/5c/2p6jw_120.jpg,231,Runnin' Outta Luck,1512399620
